N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"55,600",800,-1.42%,100,"3,319,199","5,969,783",56.02,"15,709,429",17.40,8.69,
2,SK하이닉스,"79,100",300,+0.38%,"5,000","575,850","728,002",47.36,"4,149,584",25.19,4.25,
3,NAVER,"337,000","3,000",+0.90%,100,"553,568","164,263",55.57,"1,227,157",78.55,10.56,
4,LG화학,"762,000","5,000",+0.66%,"5,000","537,914","70,592",36.55,"1,031,370",131.36,1.84,
5,삼성바이오로직스,"801,000","11,000",-1.35%,"2,500","529,982","66,165",10.32,"131,891",154.31,4.77,
6,셀트리온,"304,500","6,000",-1.93%,"1,000","411,056","134,994",21.63,"706,021",102.70,11.19,
7,삼성전자우,"48,400",600,-1.22%,100,"398,277","822,887",88.12,"1,854,609",15.14,N/A,
8,카카오,"410,500","18,500",+4.72%,500,"361,297","88,014",32.50,"1,968,342",-234.57,-5.81,
9,현대차,"163,500","4,000",-2.39%,"5,000","349,347","213,668",32.07,"2,402,599",23.56,4.32,
10,삼성SDI,"469,000","12,500",+2.74%,"5,000","322,506","68,765",41.71,"767,761",172.30,2.94,
11,LG생활건강,"1,499,000","18,000",-1.19%,"5,000","234,117","15,618",45.29,"21,621",34.19,20.32,
12,삼성물산,"111,000","4,000",-3.48%,100,"207,445","186,887",14.49,"738,253",19.40,4.77,
13,현대모비스,"217,000","6,500",-2.91%,"5,000","206,269","95,055",44.12,"321,937",11.82,7.28,
14,SK텔레콤,"245,500","3,000",-1.21%,500,"198,231","80,746",35.07,"577,600",20.15,3.92,
15,엔씨소프트,"863,000","45,000",+5.50%,500,"189,463","21,954",49.81,"231,729",36.35,14.72,
16,기아차,"42,200","1,000",-2.31%,"5,000","171,063","405,363",39.05,"1,513,146",16.07,6.50,
17,POSCO,"188,500","4,500",-2.33%,"5,000","164,347","87,187",52.57,"431,773",17.92,4.18,
18,KB금융,"36,950",150,-0.40%,"5,000","153,641","415,808",65.51,"1,505,526",4.83,8.92,
19,SK,"215,000","3,500",-1.60%,200,"151,275","70,360",22.45,"183,392",-414.26,4.31,
20,LG,"85,300","2,800",-3.18%,"5,000","147,191","172,557",34.90,"295,495",18.21,5.87,
21,SK이노베이션,"155,500","8,500",-5.18%,"5,000","143,784","92,466",23.94,"1,754,666",-6.37,-0.20,
22,신한지주,"30,000",700,-2.28%,"5,000","143,219","477,397",63.08,"2,220,877",4.32,9.09,
23,LG전자,"86,200","1,700",-1.93%,"5,000","141,064","163,648",34.50,"1,323,570",34.59,0.22,
24,SK바이오팜,"167,500","4,500",-2.62%,500,"131,175","78,313",2.18,"192,458",-152.27,-313.66,
25,한국전력,"20,400",50,-0.24%,"5,000","130,961","641,964",17.78,"3,289,170",-14.22,-3.42,
26,넷마블,"150,500",500,+0.33%,100,"129,139","85,807",22.73,"591,156",62.27,3.54,
27,삼성에스디에스,"159,000",500,-0.31%,500,"123,031","77,378",12.66,"156,201",23.60,11.76,
28,삼성생명,"59,300",900,-1.50%,500,"118,600","200,000",12.29,"691,098",15.61,3.26,
29,KT&G,"85,200",200,-0.23%,"5,000","116,973","137,292",42.72,"401,879",11.39,12.39,
30,아모레퍼시픽,"171,500","1,500",-0.87%,500,"100,256","58,458",31.23,"270,274",86.22,5.36,
31,삼성전기,"128,500",500,+0.39%,"5,000","95,981","74,694",33.16,"406,061",39.55,10.18,
32,하나금융지주,"28,700",450,-1.54%,"5,000","86,169","300,242",64.82,"1,165,755",3.44,8.77,
33,삼성화재,"180,000","2,000",-1.10%,500,"85,275","47,375",46.84,"131,995",15.43,4.85,
34,고려아연,"400,000","4,000",-0.99%,"5,000","75,480","18,870",24.27,"42,293",13.72,9.76,
35,한온시스템,"12,900",300,-2.27%,100,"68,860","533,800",20.97,"1,265,403",41.35,14.98,
36,S-Oil,"57,400","1,200",-2.05%,"2,500","64,623","112,583",74.59,"554,344",-7.89,1.01,
37,CJ제일제당,"418,000","1,500",+0.36%,"5,000","62,926","15,054",22.38,"70,085",10.53,3.16,
38,우리금융지주,"8,610",190,-2.16%,"5,000","62,187","722,268",26.52,"1,032,719",3.33,N/A,
39,KT,"23,800",200,-0.83%,"5,000","62,145","261,112",45.33,"1,149,951",10.37,4.61,
40,롯데케미칼,"180,000","6,500",+3.75%,"5,000","61,696","34,275",29.15,"368,963",34.34,5.51,
41,한국조선해양,"87,100","2,000",-2.24%,"5,000","61,643","70,773",16.73,"358,545",58.57,1.40,
42,코웨이,"83,100",900,-1.07%,500,"61,327","73,800",60.38,"164,082",17.47,30.74,
43,기업은행,"8,220",130,-1.56%,"5,000","60,718","738,664",11.95,"1,167,945",3.57,7.36,
44,미래에셋대우,"9,360",200,-2.09%,"5,000","60,402","645,316",13.41,"3,037,742",12.68,7.56,
45,신풍제약,"111,500","1,500",-1.33%,500,"59,078","52,985",3.59,"2,678,016","3,378.79",0.80,
46,한화솔루션,"35,850","1,050",+3.02%,"5,000","57,311","159,864",20.14,"6,166,659",-34.60,-4.02,
47,오리온,"143,500",500,-0.35%,500,"56,734","39,536",44.40,"68,592",21.41,14.24,
48,KODEX 200,"31,085",280,-0.89%,0,"56,544","181,900",10.10,"5,037,177",N/A,N/A,
49,포스코케미칼,"90,200","1,500",-1.64%,500,"55,011","60,988",7.65,"853,560",106.37,11.57,
50,LG디스플레이,"14,950",400,-2.61%,"5,000","53,493","357,816",21.56,"4,797,770",-1.84,-22.35,
51,LG유플러스,"12,100",250,-2.02%,"5,000","52,830","436,611",32.09,"1,994,963",10.57,6.30,
52,현대글로비스,"130,000","1,000",+0.78%,500,"48,750","37,500",34.36,"159,169",8.86,11.25,
53,SK케미칼,"402,000","12,000",-2.90%,"5,000","47,200","11,741",11.69,"297,167",20.68,1.51,
54,유한양행,"67,300",600,+0.90%,"1,000","44,995","66,857",21.46,"1,007,381",27.15,2.43,
55,강원랜드,"20,500",500,-2.38%,500,"43,858","213,940",25.26,"598,122",-215.79,9.16,
56,아모레G,"52,700","1,000",-1.86%,500,"43,455","82,458",20.89,"119,934",71.90,4.12,
57,한진칼,"72,100","2,900",-3.87%,"2,500","42,662","59,170",17.12,"200,854",-11.10,-17.56,
58,맥쿼리인프라,"11,050",0,0.00%,0,"38,569","349,044",18.93,"560,323",N/A,N/A,
59,한미사이언스,"56,700","3,300",-5.50%,500,"37,428","66,011",1.98,"389,847",132.17,4.73,
60,현대중공업지주,"232,500","4,000",-1.69%,"5,000","36,732","15,799",18.95,"50,902",-16.39,2.20,
61,한국타이어앤테크놀로지,"29,150","1,100",-3.64%,500,"36,110","123,875",38.03,"528,314",12.19,6.03,
62,한미약품,"304,000","13,000",-4.10%,"2,500","36,003","11,843",15.24,"102,780",99.87,7.30,
63,SKC,"95,200","1,800",-1.86%,"5,000","35,733","37,535",8.61,"512,488",34.49,3.86,
64,현대건설,"31,950","1,000",-3.03%,"5,000","35,578","111,356",22.41,"922,900",10.57,6.30,
65,LG이노텍,"146,500","3,000",-2.01%,"5,000","34,672","23,667",32.96,"113,811",15.17,4.73,
66,에스원,"89,800","2,500",-2.71%,500,"34,123","37,999",56.03,"57,111",23.07,11.32,
67,CJ대한통운,"149,500",500,-0.33%,"5,000","34,104","22,812",20.59,"60,124",37.73,1.41,
68,현대제철,"25,300","1,050",-3.98%,"5,000","33,762","133,446",19.06,"875,372",-12.55,0.10,
69,한국금융지주,"60,100","2,600",-4.15%,"5,000","33,491","55,726",33.89,"450,871",7.82,18.14,
70,삼성카드,"28,900",550,-1.87%,"5,000","33,483","115,859",9.90,"174,662",9.97,5.04,
71,삼성중공업,"5,220",190,-3.51%,"5,000","32,886","630,000",15.66,"4,068,965",-1.80,-21.88,
72,이마트,"114,500","4,000",-3.38%,"5,000","31,918","27,876",30.77,"344,272",5.74,2.76,
73,현대차2우B,"86,400",200,+0.23%,"5,000","31,523","36,485",62.70,"143,909",12.45,N/A,
74,DB손해보험,"44,500",450,-1.00%,500,"31,506","70,800",39.83,"206,012",6.89,6.92,
75,롯데지주,"29,950",300,-0.99%,200,"31,420","104,909",11.55,"171,460",-4.52,-5.21,
76,녹십자,"267,000","7,500",-2.73%,"5,000","31,203","11,687",18.07,"239,522",522.50,-0.35,
77,대한항공,"17,750",250,-1.39%,"5,000","30,922","174,210",11.95,"1,106,324",-2.64,-22.09,
78,금호석유,"100,500","2,500",-2.43%,"5,000","30,620","30,468",33.45,"161,657",11.50,11.84,
79,더존비즈온,"103,000","2,000",+1.98%,500,"30,563","29,673",46.30,"293,485",64.29,18.78,
80,LG화학우,"397,000","6,500",+1.66%,"5,000","30,525","7,689",55.50,"165,048",68.44,N/A,
81,GS,"32,850",350,-1.05%,"5,000","30,523","92,915",21.08,"290,312",-27.17,6.26,
82,쌍용양회,"5,570",150,-2.62%,"1,000","28,065","503,860",2.96,"1,901,953",21.02,7.02,
83,호텔신라,"69,900","1,000",-1.41%,"5,000","27,434","39,248",21.79,"373,413",-36.96,20.16,
84,대림산업,"78,600","2,200",-2.72%,"5,000","27,353","34,800",40.25,"223,178",4.42,11.74,
85,TIGER 200,"31,100",280,-0.89%,0,"27,321","87,850",6.74,"1,138,138",N/A,N/A,
86,삼성증권,"30,400",900,-2.88%,"5,000","27,147","89,300",24.78,"581,551",9.36,8.15,
87,두산밥캣,"26,350",850,-3.12%,500,"26,416","100,249",22.73,"431,729",14.43,7.05,
88,부광약품,"40,400","2,500",+6.60%,500,"26,195","64,838",5.66,"6,548,242",939.53,-2.00,
89,두산중공업,"10,300",300,+3.00%,"5,000","26,074","253,141",7.41,"7,476,094",-2.03,-14.73,
90,하이트진로,"37,000",900,-2.37%,"5,000","25,949","70,134",10.35,"1,252,792",38.22,-3.86,
91,NH투자증권,"9,040",200,-2.16%,"5,000","25,439","281,409",13.71,"1,005,549",8.06,9.12,
92,GS리테일,"31,700",550,-1.71%,"1,000","24,409","77,000",17.09,"248,478",14.62,6.25,
93,대우조선해양,"22,400",550,-2.40%,"5,000","24,014","107,206",9.60,"262,419",-25.84,-1.22,
94,CJ,"82,300","1,100",-1.32%,"5,000","24,013","29,177",19.00,"75,051",15.99,6.24,
95,키움증권,"108,500","3,000",-2.69%,"5,000","23,999","22,119",24.37,"73,398",12.85,16.97,
96,동서,"23,950",100,-0.42%,500,"23,878","99,700",6.03,"153,947",17.36,10.53,
97,KODEX 200선물인버스2X,"4,240",75,+1.80%,0,"23,693","558,800",1.31,"208,062,502",N/A,N/A,
98,일진머티리얼즈,"50,700",900,-1.74%,500,"23,378","46,111",9.22,"511,809",45.88,8.52,
99,한샘,"98,500","1,500",-1.50%,"1,000","23,181","23,534",25.03,"97,563",44.33,7.32,
100,농심,"375,000","16,000",+4.46%,"5,000","22,810","6,083",19.66,"51,579",18.66,3.72,
101,두산퓨얼셀,"40,950","1,700",-3.99%,100,"22,725","55,494",4.79,"938,031",62.42,N/A,
102,삼성엔지니어링,"11,450",350,-2.97%,"5,000","22,442","196,000",31.15,"1,229,526",8.68,24.62,
103,메리츠증권,"3,250",70,-2.11%,"1,000","21,969","675,962",12.40,"2,866,790",4.48,15.06,
104,한국가스공사,"23,700",700,-2.87%,"5,000","21,878","92,313",9.31,"224,339",-4.90,0.48,
105,한국항공우주,"22,300",450,-1.98%,"5,000","21,737","97,475",14.57,"437,388",13.91,15.84,
106,휠라홀딩스,"35,750",550,-1.52%,"1,000","21,719","60,752",44.43,"387,255",10.82,23.81,
107,KODEX 레버리지,"14,800",265,-1.76%,0,"21,667","146,400",1.58,"50,757,798",N/A,N/A,
108,롯데쇼핑,"75,900","1,300",-1.68%,"5,000","21,471","28,289",11.73,"101,376",-1.58,-8.14,
109,BGF리테일,"123,000","1,500",-1.20%,"1,000","21,259","17,284",32.34,"41,798",16.41,26.46,
110,오뚜기,"580,000","11,000",-1.86%,"5,000","20,910","3,605",17.77,"6,149",16.57,7.79,
111,대웅,"35,350","1,900",-5.10%,500,"20,553","58,142",6.92,"779,090",44.19,10.43,
112,현대차우,"84,200",700,-0.82%,"5,000","20,508","24,357",56.03,"106,490",12.13,N/A,
113,제일기획,"17,800",400,+2.30%,200,"20,477","115,041",29.32,"709,998",15.92,15.09,
114,현대해상,"22,500",0,0.00%,500,"20,115","89,400",40.31,"204,729",7.16,6.23,
115,종근당,"182,500","3,500",-1.88%,"2,500","19,866","10,886",12.62,"189,334",26.18,11.94,
116,신세계,"200,500","4,000",-1.96%,"5,000","19,740","9,845",28.59,"113,692",-7.39,14.24,
117,GS건설,"24,500",650,-2.58%,"5,000","19,624","80,098",29.21,"543,699",5.14,11.79,
118,한화,"26,000",500,-1.89%,"5,000","19,489","74,959",19.13,"463,265",13.62,2.09,
119,한올바이오파마,"36,400","2,450",+7.22%,500,"19,016","52,241",6.23,"3,558,359",88.56,14.90,
120,한솔케미칼,"164,500","9,500",+6.13%,"5,000","18,581","11,295",31.03,"287,162",17.88,20.88,
121,KODEX 단기채권,"102,465",0,0.00%,0,"18,544","18,098",3.32,"34,989",N/A,N/A,
122,팬오션,"3,405",120,-3.40%,"1,000","18,202","534,569",11.25,"2,081,848",12.34,5.49,
123,HMM,"5,340",240,-4.30%,"5,000","17,447","326,726",7.80,"4,574,443",-6.85,-55.46,
124,포스코인터내셔널,"13,850",150,-1.07%,"5,000","17,087","123,375",16.57,"234,559",9.53,7.06,
125,BNK금융지주,"5,200",100,-1.89%,"5,000","16,949","325,935",47.61,"787,883",3.24,7.07,
126,태영건설,"21,600",950,+4.60%,500,"16,502","76,400",7.67,"3,886,303",25.00,8.38,
127,LS ELECTRIC,"53,500","1,000",-1.83%,"5,000","16,050","30,000",16.34,"83,622",16.51,7.82,
128,두산인프라코어,"7,610",160,-2.06%,"5,000","15,932","209,353",4.52,"4,017,654",11.55,11.59,
129,현대엘리베이,"40,600","1,300",-3.10%,"5,000","15,570","38,351",25.67,"327,895",28.06,5.22,
130,DB하이텍,"35,050",500,-1.41%,"5,000","15,562","44,399",31.19,"944,784",9.60,17.40,
131,현대로템,"14,850",400,-2.62%,"5,000","15,450","104,044",3.79,"1,426,465",-4.45,-37.93,
132,일양약품,"80,700","1,600",+2.02%,"2,500","15,402","19,086",8.86,"1,520,471",166.05,5.20,
133,OCI,"63,900","4,800",-6.99%,"5,000","15,240","23,849",17.06,"827,455",-1.88,-26.20,
134,LG생활건강우,"723,000","10,000",-1.36%,"5,000","15,181","2,100",87.96,"1,824",16.49,N/A,
135,씨에스윈드,"87,200","2,500",+2.95%,500,"15,073","17,286",9.01,"393,072",35.69,9.92,
136,한국테크놀로지그룹,"15,750",600,-3.67%,500,"14,651","93,020",7.05,"2,763,534",11.66,4.71,
137,F&F,"95,000","2,800",-2.86%,500,"14,630","15,400",10.00,"66,600",14.23,25.13,
138,메리츠화재,"12,650",50,-0.39%,500,"14,381","113,680",11.87,"96,437",4.36,12.80,
139,NHN,"73,100",800,-1.08%,500,"14,302","19,565",11.64,"191,289",55.67,0.78,
140,효성,"66,600",500,-0.75%,"5,000","14,033","21,071",6.13,"52,475",51.39,4.25,
141,HDC현대산업개발,"20,800","1,100",-5.02%,"5,000","13,709","65,907",9.48,"948,252",2.95,20.30,
142,파미셀,"22,650",50,-0.22%,500,"13,581","59,959",7.77,"9,534,563",222.06,8.78,
143,아이에스동서,"43,850",150,-0.34%,500,"13,546","30,893",5.29,"106,738",23.19,6.10,
144,만도,"28,750","1,100",-3.69%,"1,000","13,500","46,957",24.52,"813,838",-32.60,7.55,
145,한화생명,"1,515",55,-3.50%,"5,000","13,158","868,530",7.56,"4,488,242",8.23,0.51,
146,대웅제약,"113,500","3,000",-2.58%,"2,500","13,151","11,587",5.03,"128,053",-530.37,4.34,
147,SK디스커버리,"69,000","1,800",-2.54%,"5,000","13,136","19,038",9.88,"236,312",5.37,11.52,
148,롯데관광개발,"18,900",0,0.00%,500,"13,093","69,276",6.65,0,-28.68,-4.77,
149,더블유게임즈,"71,100",900,-1.25%,500,"13,064","18,375",15.37,"145,246",12.38,18.93,
150,LS,"40,550",750,-1.82%,"5,000","13,057","32,200",10.77,"119,819",-30.01,0.80,
151,한화에어로스페이스,"25,500",800,-3.04%,"5,000","12,911","50,630",16.33,"352,418",12.06,5.45,
152,영원무역,"29,000",350,+1.22%,500,"12,850","44,311",23.80,"333,470",9.13,9.82,
153,현대백화점,"54,600","2,000",-3.53%,"5,000","12,778","23,402",20.99,"318,600",10.10,4.64,
154,SK네트웍스,"5,080",60,-1.17%,"2,500","12,608","248,188",12.26,"567,187",-43.05,-5.85,
155,한전KPS,"28,000",600,-2.10%,200,"12,600","45,000",14.77,"230,198",7.93,14.98,
156,대우건설,"3,020",110,-3.51%,"5,000","12,552","415,623",12.84,"4,320,285",6.83,8.80,
157,KODEX 종합채권(AA-이상)액티브,"110,805",55,-0.05%,0,"12,536","11,314",0.00,"26,590",N/A,N/A,
158,KODEX 삼성그룹,"7,630",50,-0.65%,0,"12,528","164,200",0.03,"572,526",N/A,N/A,
159,녹십자홀딩스,"26,600",550,-2.03%,500,"12,510","47,028",7.25,"222,523",37.78,0.37,
160,TIGER 단기통안채,"100,645",0,0.00%,0,"12,509","12,429",5.86,"2,994",N/A,N/A,
161,KCC,"140,000","2,000",-1.41%,"5,000","12,441","8,886",13.39,"56,988",-590.72,-4.37,
162,메리츠금융지주,"9,190",10,-0.11%,500,"12,316","134,011",7.90,"34,789",3.34,15.26,
163,현대미포조선,"30,750",700,-2.23%,"5,000","12,282","39,942",13.20,"158,986",20.55,2.31,
164,지누스,"84,000","1,800",-2.10%,500,"12,102","14,407",18.56,"50,284",15.29,26.32,
165,롯데정밀화학,"46,250",700,-1.49%,"5,000","11,932","25,800",23.95,"133,970",6.10,11.73,
166,두산솔루스,"39,000",150,+0.39%,100,"11,930","30,590",7.90,"579,222",86.47,N/A,
167,KODEX 인버스,"5,505",50,+0.92%,0,"11,918","216,500",1.01,"40,780,207",N/A,N/A,
168,KG동부제철,"11,700",400,-3.31%,"5,000","11,701","100,009",0.15,"71,042",12.20,-7.44,
169,영진약품,"6,330",300,-4.52%,500,"11,577","182,893",4.65,"2,038,634",486.92,4.43,
170,KODEX 200TR,"9,965",95,-0.94%,0,"11,420","114,600",20.20,"130,601",N/A,N/A,
171,현대위아,"40,800","1,300",-3.09%,"5,000","11,096","27,195",11.01,"229,811",17.60,1.80,
172,한화시스템,"9,970",80,-0.80%,"5,000","10,990","110,230",1.89,"500,125",14.12,8.15,
173,이노션,"53,200","1,200",-2.21%,500,"10,640","20,000",29.15,"55,863",15.92,9.88,
174,진원생명과학,"23,700","7,150",-23.18%,"1,000","10,578","44,631",11.97,"55,250,242",-80.89,-28.50,
175,한국콜마,"45,550","1,400",-2.98%,500,"10,422","22,881",25.74,"231,878",47.35,6.39,
176,코스맥스,"103,500","2,000",-1.90%,500,"10,401","10,050",22.49,"139,101",26.98,10.45,
177,KODEX 코스닥150 레버리지,"12,930",125,-0.96%,0,"10,253","79,300",0.67,"25,030,308",N/A,N/A,
178,KBSTAR 200,"31,145",265,-0.84%,0,"10,200","32,750",0.05,"1,088,125",N/A,N/A,
179,대상,"28,600",450,+1.60%,"1,000","9,909","34,648",18.38,"423,574",7.65,11.17,
180,신세계인터내셔날,"137,000","6,000",-4.20%,"5,000","9,782","7,140",4.62,"88,267",15.79,12.98,
181,아시아나항공,"4,255",150,-3.41%,"5,000","9,499","223,235",6.15,"7,136,154",-0.86,-90.67,
182,쿠쿠홈시스,"41,000","1,150",-2.73%,100,"9,199","22,437",4.28,"60,471",12.01,16.10,
183,DGB금융지주,"5,310",30,-0.56%,"5,000","8,982","169,146",45.67,"764,673",2.88,7.31,
184,영풍,"480,000",0,0.00%,"5,000","8,842","1,842",4.30,"2,836",3.96,7.40,
185,다우기술,"19,700",200,-1.01%,500,"8,839","44,867",23.62,"188,225",4.64,14.62,
186,금호타이어,"3,070",95,-3.00%,"5,000","8,819","287,260",4.32,"513,135",-6.30,-3.30,
187,코리안리,"7,320",70,+0.97%,500,"8,811","120,369",27.28,"500,556",5.30,8.04,
188,TRUE 코스피 양매도 5% OTM ETN,"8,905",30,-0.34%,0,"8,807","98,900",0.00,"55,228",N/A,N/A,
189,롯데리츠,"5,050",30,-0.59%,500,"8,684","171,969",8.85,"205,369",58.72,1.64,
190,코오롱인더,"32,000",350,-1.08%,"5,000","8,633","26,979",16.70,"132,857",5.51,1.58,
191,KODEX 단기채권PLUS,"102,685",0,0.00%,0,"8,618","8,393",0.00,"3,771",N/A,N/A,
192,드림텍,"13,800",600,-4.17%,100,"8,569","62,095",22.65,"2,167,994",39.77,13.24,
193,JB금융지주,"4,310",35,-0.81%,"5,000","8,490","196,983",38.95,"357,167",2.45,10.36,
194,현대오토에버,"40,400","1,200",-2.88%,500,"8,484","21,000",1.33,"84,258",14.75,11.71,
195,오리온홀딩스,"13,350",300,-2.20%,500,"8,363","62,645",9.81,"100,605",12.17,2.55,
196,삼양식품,"110,500",500,+0.45%,"5,000","8,324","7,533",6.88,"70,147",11.07,23.15,
197,SK가스,"88,900",700,-0.78%,"5,000","8,206","9,230",8.52,"13,197",2.36,9.85,
198,일진다이아,"57,700","1,400",-2.37%,"1,000","8,195","14,203",2.37,"519,410",116.33,8.06,
199,S&T모티브,"56,000",200,-0.36%,"5,000","8,189","14,623",23.46,"65,143",11.70,0.33,
200,제이알글로벌리츠,"4,900",30,-0.61%,"1,000","8,114","165,600",0.01,"204,188",N/A,N/A,
